Price,Close,High,Low,Open,Volume,EMA20,EMA50,EMA200
Ticker,SPY,SPY,SPY,SPY,SPY,,,
Date,,,,,,,,
2025-06-20,587.7673950195312,592.8906208578056,586.3629131433069,591.8224395288368,94051400,587.7673950195312,587.7673950195312,587.7673950195312
2025-06-23,593.5730590820312,593.9587392448562,585.4035696790836,588.5190130228361,87426000,588.3203154064361,587.9950681200214,587.8251628211482
2025-06-24,600.13037109375,601.1885919192599,596.7972471416377,597.7072083922786,67735300,589.4450826147516,588.4709623542853,587.9476027044576
2025-06-25,600.4666748046875,601.940336500435,598.903972841808,601.247995602986,62114800,590.4947580614122,588.9413824503796,588.072170586052
2025-06-26,605.1646118164062,605.5997923429508,601.7029677445283,602.3161684365299,78548400,591.8918869904593,589.5775875235571,588.2422446281452
2025-06-27,608.1712646484375,609.6350865938839,604.1360202356653,606.1635425121184,86258400,593.4423039102667,590.3067513323759,588.4405433348147
2025-06-30,611.0790405273438,612.4340220516922,608.2998373553096,610.6142201701539,92502500,595.1219931118931,591.1213509086492,588.6658020133474
2025-07-01,610.8812866210938,612.0483479268365,608.7746241554748,609.6053849111585,70030100,596.6228782080075,591.896250348353,588.8868516114345
2025-07-02,613.6505737304688,613.6901136433279,609.8526292762224,610.4757300098587,66510400,598.2445634958609,592.7493610692202,589.1332568066488
2025-07-03,618.4869995117188,619.4167005776212,615.6088560521965,615.628656191773,51065800,600.1724145449903,593.758680223828,589.4253338484904
2025-07-07,613.8780517578125,617.1913758193931,611.0988485499288,616.5286747873084,74814500,601.4777133271639,594.5476751859451,589.6686444744538
2025-07-08,613.5418090820312,615.2923708557059,612.7307881009865,614.5406899285775,59024600,602.6266748276274,595.2925431818701,589.9061884008973
2025-07-09,617.2210083007812,617.8737488887257,614.1055045789822,615.945166968477,66113300,604.0166113488801,596.1524829904549,590.1779776536325
2025-07-10,618.9617309570312,620.0002120765442,616.1825277796053,617.3594891460615,57529000,605.439956073466,597.0469633028697,590.4643831591391
2025-07-11,616.7858276367188,618.0122289852302,614.7187654701638,615.9154666088177,63670200,606.5205152699662,597.821036414001,590.726288079314
2025-07-14,617.9627685546875,618.3089087938923,614.9857451789246,616.3308265898004,51898500,607.610253678035,598.6109082626554,590.9972978352879
2025-07-15,615.322021484375,620.9793073894895,615.2428812967698,620.6430672331502,74317300,608.3447077548292,599.2662460360561,591.2393348865227
2025-07-16,617.3792114257812,617.8836320494379,611.276844692317,616.9044910111767,88987500,609.2051366758722,599.9765584042807,591.4994331605452
2025-07-17,621.1573486328125,621.5134493059918,617.3396644874989,617.557284919235,68885700,610.3434425765331,600.807177628929,591.7945367970851
2025-07-18,620.7025146484375,622.5717567026577,619.5947932954602,622.4036365954075,65621600,611.3300208690954,601.5873869238117,592.0821783677453
2025-07-21,621.8794555664062,624.6190586454088,621.4541750937276,621.8794555664062,63375000,612.334728935506,602.3831543215605,592.37866868813
2025-07-22,621.9683837890625,622.8288447335428,619.3276609031153,622.2057439990875,60046300,613.2522198739399,603.1512025359723,592.67309371401
2025-07-23,627.259765625,627.259765625,622.8288205336723,624.6288825447934,70511000,614.5862718502314,604.0966363826009,593.017239703174
2025-07-24,627.4674072265625,629.1784892953694,627.0421268182102,627.6454273719465,71307100,615.8130466479772,605.0131372000112,593.3600274397252
2025-07-25,630.1181030273438,630.5928838363332,627.8829206987424,628.1301809903662,56865400,617.1754329698216,605.9976456638282,593.7257794356219
2025-07-28,629.9598999023438,631.0478210681617,628.5752180855901,630.4939604147171,54917100,618.3930012491095,606.9373419084758,594.0863179477286
2025-07-29,628.2982788085938,631.6708825055948,627.3883778702398,631.3543820995848,60556300,619.3363610166793,607.7750257084805,594.4267354687323
2025-07-30,627.5070190429688,630.6917023127537,624.6189756546709,628.9509803708415,80418900,620.114518923945,608.5488293686565,594.7558925192222
2025-07-31,625.1531982421875,632.8380075585872,623.857556644127,632.4523273568442,103385200,620.59439314473,609.1999810891871,595.0583532726846
2025-08-01,614.9066162109375,619.476041722763,612.5032535330552,619.4364414435403,140103600,620.0527001034164,609.4237707018048,595.255848426299
2025-08-04,624.2530517578125,624.3024917393647,618.7243458354196,618.813325728958,73218000,620.4527335943113,610.0053111353737,595.5443778126823
2025-08-05,621.0880737304688,625.6772386500149,620.168272806011,624.8662177521945,68051400,620.5132421787073,610.4399292763579,595.7985439412175
2025-08-06,625.845458984375,626.4981995520814,621.2463937026511,622.1562946160922,64357500,621.0210723506757,611.0440676962802,596.097518220254
2025-08-07,625.3212280273438,629.9993730574174,622.2156245224251,629.2674923107387,74205800,621.4306109865489,611.6039563367141,596.3883014024141
2025-08-08,630.197265625,630.6621463802445,626.794961476664,627.1114619051468,64051600,622.2655304759252,612.3331057205685,596.7247090066189
2025-08-11,628.9509887695312,631.9478122276477,627.7047873460086,630.474150672182,58742300,622.902240789602,612.9847874087632,597.0453685067474
2025-08-12,635.6468505859375,635.8050706066525,629.8114837326607,631.2950454377703,64730800,624.1160131511579,613.8734957686524,597.4294628557941
2025-08-13,637.8228149414062,639.1085564704525,635.6370120856271,637.8425547169825,60092800,625.4214228454672,614.8126847558193,597.8313867571435
2025-08-14,637.882080078125,638.5447207235369,635.300697252298,635.7457174616427,59327500,626.6081521057204,615.7173669253216,598.2299011185463
2025-08-15,636.388671875,639.0096552004113,635.4787708739423,638.9107148606824,68592500,627.539630178985,616.528006335113,598.6095903798046
2025-08-18,636.2501831054688,636.9425240091701,635.1424618060598,635.8150025688236,43804900,628.3692066481739,617.3014250319897,598.9841236407565
2025-08-19,632.7984008789062,637.0512656505922,631.4829592777961,636.0721245937336,69750700,628.7910346701484,617.909149575006,599.3205841107879
2025-08-20,631.1170043945312,632.6500060324975,626.013578858981,632.3929060531275,88890300,629.0125555962801,618.4271046659679,599.6369664021685
2025-08-21,628.5850830078125,630.9785456585483,626.864161086776,629.3071240874224,54805800,628.9718439211879,618.8254567578049,599.9250073634188
2025-08-22,638.2381591796875,639.4151205943501,630.2664897119097,630.7709103705197,84083200,629.8543501362831,619.5867392057219,600.3062327546255
2025-08-25,635.42919921875,638.2183023325629,635.3105191174199,636.9820009718095,51274300,630.3852881441371,620.2080121474092,600.655715008
2025-08-26,638.0897827148438,638.4359833484747,634.5391586749303,635.1622594491828,51581600,631.1190495318235,620.9092580520145,601.0281932936402
2025-08-27,639.543701171875,640.2755819843173,637.3578984386413,637.5062787617181,48341100,631.9213973070665,621.6400205273031,601.4114321780008
2025-08-28,641.8085327148438,642.3623933153343,638.267809046051,640.146950913372,61519500,632.8630292506643,622.4309425738734,601.8133933773723
2025-08-29,637.9810180664062,640.7404816664739,636.0919759234915,640.374480883152,74522200,633.3504567569255,623.0407494559336,602.1732702399498
2025-09-02,633.2533569335938,633.4709169972102,627.9619508913343,630.5136938017484,81983500,633.3412091547034,623.4412438668222,602.4825248339165
2025-09-03,636.6853637695312,637.1502445176759,633.4413400681225,635.6270824559713,70820900,633.6597000704013,623.9606211179089,602.8228515894947
2025-09-04,642.00634765625,642.0360478647699,636.4578416280056,637.3578424589464,65219200,634.4546188881012,624.668296668432,603.2127371224973
2025-09-05,640.14697265625,645.0625384730564,636.2798483910566,644.3404973975818,85178900,634.9967478184011,625.2753035699152,603.580241953679
2025-09-08,641.719482421875,642.7184234803435,640.1369806181674,641.5117620821245,63133100,635.6370082568271,625.9201733288156,603.9597368837108
2025-09-09,643.2030639648438,643.7272243154101,640.1271005117621,641.8579222981767,66133900,636.357584990924,626.5979337459148,604.3502177501897
2025-09-10,645.0625,647.3768223058731,643.4997982019892,646.4570213518696,78034500,637.1866245155979,627.3220343833299,604.7553150860086
2025-09-11,650.4231567382812,651.1154976382888,646.4274520986086,647.0109525903231,69934400,638.447246632044,628.2279607501907,605.2097214706083
2025-09-12,650.20556640625,651.8869485652141,649.701206088218,650.3934866540098,72780100,639.5670866105397,629.0898276386636,605.6574413207143
2025-09-15,653.6671142578125,653.7956944276398,652.114372883025,652.4110731340584,63772400,640.9099463864704,630.0536428001989,606.1351495091432
2025-09-16,652.76708984375,654.5276118800496,651.9857691498868,654.2209512044083,61169000,642.0391981443066,630.9443662136715,606.5991489154577
2025-09-17,651.9561767578125,654.4683196962441,647.1296508296768,652.7770978636573,101952200,642.9836722979738,631.76835878403,607.0504626253319
2025-09-18,655.00244140625,657.6036246179045,653.0342590569163,654.6365009878455,90459200,644.1283169749526,632.6794992790192,607.5275967425549
2025-09-19,658.2465209960938,659.0895125014193,654.9438659954435,656.8877828567474,97945600,645.4729078341089,633.6821275816495,608.0322626555255
2025-09-22,661.3607177734375,661.8069717744121,656.7290467709187,656.7588293222589,69452200,646.9860325902354,634.7675624911315,608.5628940497336
2025-09-23,657.7605590820312,661.856628548307,656.5406245808955,661.2416672722171,81708900,648.0121779704064,635.6692486319511,609.0524230550301
2025-09-24,655.6677856445312,659.1489540239103,654.2495430702726,659.0497999269948,68082200,648.7412834631801,636.4535049853855,609.516257508657
2025-09-25,652.6429443359375,653.9917550046746,649.0328388399253,652.5338627083877,89622100,649.1128702129665,637.088384959917,609.94537877062
2025-09-26,656.3819580078125,656.9274266555326,652.4743298182361,654.0909412604747,69179200,649.8051642886661,637.8449956676776,610.4074342854179
2025-09-29,658.2266845703125,659.8135740530697,656.4216318338509,658.9010899003678,73499000,650.6072138392991,638.644277585428,610.8832477210887
2025-09-30,660.7061157226562,661.1722852976668,656.173659297658,657.4828203674869,86288000,651.5690140186665,639.5094477084565,611.3789976514526
2025-10-01,662.9574584960938,663.8698820443607,657.6117327913598,657.7208144097488,72545400,652.6536277784214,640.4289775432658,611.8922161673197
2025-10-02,663.7210693359375,665.0600128657511,661.3011766397112,664.9410037342527,56896000,653.7076698315182,641.3423929076843,612.407926149097
2025-10-03,663.7112426757812,667.1527012490268,662.6698219114437,664.4848020775174,70494400,654.6603910547813,642.2196027025116,612.9184069105565
2025-10-06,666.0914916992188,666.9841207809839,663.9591941673339,666.1014192164715,54623300,655.7490673066325,643.1557552121864,613.4474923313393
2025-10-07,663.6219482421875,667.4601442579947,662.1838505424819,667.0138297258598,72020100,656.498865490971,643.9583510172844,613.9467406488602
2025-10-08,667.5791625976562,667.6783772359653,663.919480237528,664.7426772273783,60702200,657.5541318820839,644.8846573537695,614.4803965886492
2025-10-09,665.6452026367188,668.4023890582872,663.7112737749407,667.9957845708525,66501900,658.3247100491919,645.6987963844734,614.9894991363913
2025-10-10,647.6542358398438,668.4122493878771,647.4757221413303,666.6071968358344,159422600,657.3084744102065,645.775480284684,615.3145213921471
2025-10-13,657.5919189453125,659.664772492732,654.3488290056752,655.2216030747315,79560500,657.3354691278356,646.2388700360813,615.7351920145667
2025-10-14,656.78857421875,660.3590300864076,647.8030207789583,651.7701536094826,88779600,657.2833838983988,646.6525839255977,616.1436833797825
2025-10-15,659.7044067382812,664.7228272522149,653.5156893256119,661.3408732132422,81702600,657.5139575021972,647.1644201143305,616.5771234132004
2025-10-16,655.2117309570312,663.2154294168515,651.710706867285,661.3409444600238,110563300,657.294697831229,647.4800009316914,616.9615473688605
2025-10-17,658.9308471679688,660.2895852935891,652.7322022395391,654.0810128478913,96500900,657.4505215775852,647.9290537252709,617.3791523419859
2025-10-20,665.7840576171875,666.6866142382812,661.7872027532737,661.8367798071084,60493400,658.2441916765948,648.6292499563265,617.8607931904954
2025-10-21,665.7741088867188,667.4601523988813,664.4748753427003,665.9229005771253,56249000,658.9613266489877,649.3015973653615,618.3375426004081
2025-10-22,662.3128051757812,666.4783066993808,657.8497808005621,666.4783066993808,80564000,659.2805150801108,649.8118408089074,618.7751074021531
2025-10-23,666.2402954101562,667.1825015615415,662.3128121266341,662.6301900162397,65604500,659.9433513020199,650.456093930525,619.2473978300935
2025-10-24,671.6851806640625,672.8951271271609,670.0983517375236,670.9016937183009,74356500,661.0616207650716,651.2886071357617,619.7691668135161
2025-10-27,679.6094970703125,679.9070199177999,676.5151383891614,677.1201116013259,63339800,662.8280851750945,652.39923027045,620.3645929852256
2025-10-28,681.4144897460938,683.2492642554724,679.2028328185232,681.4045622297778,61738100,664.5982189437611,653.5370835832204,620.9720546445378
2025-10-29,681.7418823242188,684.0328991417463,677.2590027977353,683.0609104229828,85657100,666.2309487895191,654.643154122083,621.5767295468232
2025-10-30,674.2440185546875,680.3037996369978,674.2440185546875,678.2805836148408,76335800,666.9940982909637,655.4118154723814,622.1007821737672
2025-10-31,676.4556274414062,679.4508319897004,673.6587916341136,679.4111219213156,87164100,667.8951963052916,656.2370630005785,622.641626405286
2025-11-03,677.7251586914062,680.1649066224819,674.3530715971103,680.0359699637585,57315000,668.8313831992074,657.0797334198267,623.1897212539042
2025-11-04,669.6917114257812,674.3729598389511,669.0371611161902,670.5545580097922,78427000,668.9133192207859,657.5743207926092,623.6524276237736
2025-11-05,672.012451171875,675.2654684624238,668.6304366940664,669.4337786331213,74402400,669.2084746446992,658.140521983953,624.1336218879338
2025-11-06,664.8021850585938,671.8140994484131,663.2252231578799,670.9115428502156,85035300,668.788828017451,658.4017636731546,624.53828420804
2025-11-07,665.4567260742188,665.5658682287408,655.7769731606511,662.4218719882706,100592400,668.4714849752385,658.6784288653532,624.9454328833253
2025-11-10,675.8407592773438,676.57466917413,669.4834554774103,671.6752576501947,75842900,669.1733206230581,659.3514614305293,625.4518540414748
2025-11-11,677.3878784179688,677.9532020666294,673.1529450781785,674.3629519753922,58953400,669.9556594606686,660.058771900625,625.96863040343
2025-11-12,677.7647705078125,679.3318048264125,675.3547447293747,679.1631581075335,62312500,670.6993843223014,660.7531247871813,626.4840148820805
2025-11-13,666.5180053710938,675.265541055433,665.0105359672095,674.9085136071693,103457800,670.3011577555197,660.9791985355699,626.8823630461503
2025-11-14,666.4088745117188,670.1082064558575,657.8200586834998,659.9127066954921,96846700,669.930464113253,661.1921270052229,627.2756616676983
2025-11-17,660.2002563476562,668.1742314199619,656.7290154076413,664.1971714004484,90456100,669.0037776593867,661.1532301166909,627.6032695749615
2025-11-18,654.6561889648438,659.6547538697382,650.4708329116884,656.6595496130724,114467500,667.6373406408588,660.8984441891675,627.8724528524729
2025-11-19,657.185302734375,661.856623370592,653.3371790986623,655.3505280387882,94703000,666.641908459289,660.7528307987835,628.1641230005515
2025-11-20,647.1683349609375,670.0090710879778,646.5335791707308,667.3808213360044,165293500,664.7872824118269,660.2201054718092,628.3532196369733
2025-11-21,653.6148681640625,659.0894699034471,645.5020288545189,649.6675301260088,123956200,663.7232429596589,659.96107655778,628.6045793238101
2025-11-24,663.2351684570312,664.5542570793402,656.1538823239337,657.2448196444445,80437900,663.6767596736944,660.089472318535,628.9491623002601
2025-11-25,669.4734497070312,670.6536740212097,659.020017057554,663.135941149376,81077100,664.228825391155,660.4574714318093,629.352389040626
2025-11-26,674.09521484375,676.0986363282427,671.1595147067713,672.0620713400136,71879600,665.1684815294975,660.9922848989441,629.7975912874233
2025-11-28,677.7747192382812,678.0523870500939,674.9084513312986,675.2654787466182,49212000,666.3690755970007,661.6504195789182,630.2749756451433
2025-12-01,674.6802978515625,677.3779187836101,673.1628406770591,673.232272756968,61201200,667.1606205736256,662.1613951974533,630.7168196471972
2025-12-02,675.9300537109375,678.2012155152329,673.7481184984898,676.316803165018,62953800,667.995804681941,662.701342590139,631.1667025732047
2025-12-03,678.2706298828125,679.2822075879724,674.105128319461,674.9779023816353,57238500,668.9743594629763,663.3119028761263,631.6353983673301
2025-12-04,678.7665405273438,679.7384687237238,675.7416137771377,679.6690366334618,61970300,669.9069481357732,663.9179670977427,632.1043649559871
2025-12-05,680.0557861328125,682.7336127271673,678.9549213715281,679.8375623637357,79241000,670.8735041354912,664.5508227461768,632.5814935249107
2025-12-08,678.0127563476562,680.9980334759979,675.9696853695019,680.9484564225444,55231500,671.5534329176022,665.0787417109407,633.0335458913062
2025-12-09,677.4276123046875,679.7583392727543,676.9813582671167,677.5367544682442,58310100,672.112878573515,665.5630111459895,633.4752778954194
2025-12-10,681.92041015625,683.3088703732143,675.711837383319,676.9515664343469,85671300,673.0469292004422,666.204477773843,633.9573190124426
2025-12-11,683.5072631835938,683.5866227950731,676.5647802535024,679.5104080599091,86173700,674.0431514845518,666.883018378147,634.4503532828023
2025-12-12,676.1581420898438,683.2196338188487,673.5893968987631,682.5154459360199,113160300,674.2445791612463,667.2467487197822,634.8653561565042
2025-12-15,675.1365356445312,680.1252340287925,673.6687159286942,680.1053789946951,90811000,674.3295273977496,667.556152128596,635.2660644101164
2025-12-16,673.2918701171875,675.4837328267965,669.4338188610296,673.6488975485244,122030600,674.2307028948389,667.7810822457957,635.6444306360576
